index,timestamp,winnerPeerId,solutionNumber
0,"19.8.2021, 11:03:37",undefined,98
1,"19.8.2021, 11:04:07",QmdaiadqcBDCoJ43A5gaomqzUR7dH1NgrGK1xUkUPPkjUi,62
2,"19.8.2021, 11:04:37",Qmbu3GkGhjFxBvS2HVZbRggFdyRjzhY5zyD7Pp6sKoGAPb,Solution 41
3,"19.8.2021, 11:05:07",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,9
4,"19.8.2021, 11:05:37",Qmbu3GkGhjFxBvS2HVZbRggFdyRjzhY5zyD7Pp6sKoGAPb,0
5,"19.8.2021, 11:06:08",QmdaiadqcBDCoJ43A5gaomqzUR7dH1NgrGK1xUkUPPkjUi,49
6,"19.8.2021, 11:06:38",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 32
7,"19.8.2021, 11:07:08",QmdaiadqcBDCoJ43A5gaomqzUR7dH1NgrGK1xUkUPPkjUi,18
8,"19.8.2021, 11:07:39",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 33
9,"19.8.2021, 11:08:09",QmdaiadqcBDCoJ43A5gaomqzUR7dH1NgrGK1xUkUPPkjUi,81
10,"19.8.2021, 11:08:39",Qmbu3GkGhjFxBvS2HVZbRggFdyRjzhY5zyD7Pp6sKoGAPb,Solution 0
11,"19.8.2021, 11:09:09",QmdaiadqcBDCoJ43A5gaomqzUR7dH1NgrGK1xUkUPPkjUi,66
12,"19.8.2021, 11:09:40",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 2
13,"19.8.2021, 11:10:10",Qmbu3GkGhjFxBvS2HVZbRggFdyRjzhY5zyD7Pp6sKoGAPb,41
14,"19.8.2021, 11:10:40",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,82
15,"19.8.2021, 11:11:10",QmdaiadqcBDCoJ43A5gaomqzUR7dH1NgrGK1xUkUPPkjUi,23
16,"19.8.2021, 11:11:40",QmUkf9pfefP2F55GJ7G9WjqQwpJR5rZTKqSthCMcmxNF1m,Solution 74
17,"19.8.2021, 11:12:10",Qmbu3GkGhjFxBvS2HVZbRggFdyRjzhY5zyD7Pp6sKoGAPb,75
